unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
3425d1b7-6515-43dd-894a-506144d3d444,1591594065.0608015,"(1000, 4)","{'0.0': {'precision': 0.7735191637630662, 'recall': 0.9367088607594937, 'f1-score': 0.8473282442748091, 'support': 237}, '1.0': {'precision': 0.6511627906976745, 'recall': 0.3010752688172043, 'f1-score': 0.411764705882353, 'support': 93}, 'accuracy': 0.7575757575757576, 'macro avg': {'precision': 0.7123409772303704, 'recall': 0.618892064788349, 'f1-score': 0.6295464750785811, 'support': 330}, 'weighted avg': {'precision': 0.7390369131719103, 'recall': 0.7575757575757576, 'f1-score': 0.7245785198187532, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:06
88ed5262-5131-4da9-877e-a8148eb4aa6c,1591659044.8113525,"(1000, 4)","{'0.0': {'precision': 0.8068181818181818, 'recall': 0.8987341772151899, 'f1-score': 0.8502994011976047, 'support': 237}, '1.0': {'precision': 0.6363636363636364, 'recall': 0.45161290322580644, 'f1-score': 0.5283018867924528, 'support': 93}, 'accuracy': 0.7727272727272727, 'macro avg': {'precision': 0.7215909090909091, 'recall': 0.6751735402204981, 'f1-score': 0.6893006439950288, 'support': 330}, 'weighted avg': {'precision': 0.7587809917355371, 'recall': 0.7727272727272727, 'f1-score': 0.759554647137971, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
bb9cfd3e-c922-4916-bd68-126ff44591ef,1591659118.486183,"(1000, 4)","{'0.0': {'precision': 0.7934782608695652, 'recall': 0.9240506329113924, 'f1-score': 0.8538011695906433, 'support': 237}, '1.0': {'precision': 0.6666666666666666, 'recall': 0.3870967741935484, 'f1-score': 0.4897959183673469, 'support': 93}, 'accuracy': 0.7727272727272727, 'macro avg': {'precision': 0.730072463768116, 'recall': 0.6555737035524705, 'f1-score': 0.6717985439789951, 'support': 330}, 'weighted avg': {'precision': 0.7577404479578392, 'recall': 0.7727272727272727, 'f1-score': 0.7512178715186234, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
2d2d4807-8286-4c6c-870a-b77cf0b34949,1591659573.3106003,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
3409d70a-ba40-468c-b08c-8d3a1d2e0f0b,1591660486.1761224,"(1000, 4)","{'0.0': {'precision': 0.806949806949807, 'recall': 0.8818565400843882, 'f1-score': 0.842741935483871, 'support': 237}, '1.0': {'precision': 0.6056338028169014, 'recall': 0.46236559139784944, 'f1-score': 0.524390243902439, 'support': 93}, 'accuracy': 0.7636363636363637, 'macro avg': {'precision': 0.7062918048833542, 'recall': 0.6721110657411188, 'f1-score': 0.683566089693155, 'support': 330}, 'weighted avg': {'precision': 0.7502152966941699, 'recall': 0.7636363636363637, 'f1-score': 0.7530246405836494, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
1eac75d8-4ea8-4215-ab7b-12a18510523d,1591660633.092317,"(1000, 4)","{'0.0': {'precision': 0.7821428571428571, 'recall': 0.9240506329113924, 'f1-score': 0.8471953578336557, 'support': 237}, '1.0': {'precision': 0.64, 'recall': 0.34408602150537637, 'f1-score': 0.4475524475524476, 'support': 93}, 'accuracy': 0.7606060606060606, 'macro avg': {'precision': 0.7110714285714286, 'recall': 0.6340683272083845, 'f1-score': 0.6473739026930516, 'support': 330}, 'weighted avg': {'precision': 0.7420844155844156, 'recall': 0.7606060606060606, 'f1-score': 0.7345687194816789, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
8932935b-d768-4f8b-a235-f70a2158b8ba,1591660655.417074,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
0cfd519a-268e-4e4d-98b8-f969ac498f59,1591660832.5056913,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
c4169231-f26b-42a2-92df-9a7cd82bc4f9,1591660851.479115,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
0dcd2ab4-b816-4b99-b7af-9651c875cd18,1591660867.0680008,"(1000, 4)","{'0.0': {'precision': 0.8108108108108109, 'recall': 0.8860759493670886, 'f1-score': 0.8467741935483871, 'support': 237}, '1.0': {'precision': 0.6197183098591549, 'recall': 0.4731182795698925, 'f1-score': 0.5365853658536585, 'support': 93}, 'accuracy': 0.7696969696969697, 'macro avg': {'precision': 0.7152645603349829, 'recall': 0.6795971144684905, 'f1-score': 0.6916797797010228, 'support': 330}, 'weighted avg': {'precision': 0.756957469633526, 'recall': 0.7696969696969697, 'f1-score': 0.7593573421071453, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
3d6c9a52-d415-4efa-aedd-16f5a3fd633e,1591662655.9460268,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
3415d33c-a8c0-4404-b66c-4fc5480430e6,1591677502.760147,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:10
